epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3065.79,0.82417,0.70662,1.26076,0.86335,0.92511,0.93573,0.68747,1.02282,0.64593,1.52687,0.0004952,0.0004952,0.0004952
78,3103.7,0.8382,0.71781,1.28468,0.86489,0.89643,0.93949,0.69635,1.00262,0.65723,1.49867,0.0004754,0.0004754,0.0004754
79,3141.77,0.82797,0.70068,1.26527,0.89549,0.87857,0.94134,0.71374,0.96908,0.6457,1.45418,0.0004556,0.0004556,0.0004556
80,3179.54,0.80191,0.67896,1.2442,0.93113,0.86914,0.93972,0.69315,1.03535,0.6621,1.54319,0.0004358,0.0004358,0.0004358
81,3216.53,0.80903,0.6691,1.25306,0.89159,0.91071,0.9387,0.69638,1.00837,0.64484,1.49997,0.000416,0.000416,0.000416
82,3253.41,0.80501,0.66655,1.23851,0.87083,0.91071,0.94541,0.70973,0.9813,0.61626,1.46008,0.0003962,0.0003962,0.0003962
83,3290.04,0.81192,0.69552,1.2552,0.87923,0.85801,0.93422,0.6971,0.98776,0.63609,1.47696,0.0003764,0.0003764,0.0003764
84,3327.47,0.77378,0.66577,1.2331,0.86813,0.90714,0.93952,0.704,0.97099,0.62957,1.4701,0.0003566,0.0003566,0.0003566
85,3365.69,0.79611,0.6752,1.24207,0.86734,0.88731,0.93116,0.70383,1.00308,0.61961,1.51461,0.0003368,0.0003368,0.0003368
86,3402.93,0.78818,0.64635,1.23303,0.85814,0.89643,0.9309,0.69242,1.0011,0.61548,1.52061,0.000317,0.000317,0.000317
87,3440.61,0.75815,0.63645,1.21843,0.88878,0.90357,0.93973,0.70192,0.99399,0.59616,1.51905,0.0002972,0.0002972,0.0002972
88,3477.87,0.76484,0.62263,1.22314,0.87943,0.88571,0.93075,0.7002,1.00217,0.63275,1.49976,0.0002774,0.0002774,0.0002774
89,3515.69,0.76223,0.64039,1.22059,0.90459,0.9,0.94502,0.7188,0.95718,0.59834,1.45518,0.0002576,0.0002576,0.0002576
90,3553.66,0.75453,0.62895,1.21875,0.88402,0.89286,0.93368,0.70848,0.97037,0.62708,1.48491,0.0002378,0.0002378,0.0002378
91,3591.15,0.68841,0.5236,1.21097,0.92164,0.85357,0.94227,0.70857,0.97377,0.61864,1.47997,0.000218,0.000218,0.000218
92,3628.18,0.69054,0.48786,1.21846,0.8576,0.88214,0.92925,0.68883,0.98772,0.62872,1.49851,0.0001982,0.0001982,0.0001982
93,3664.61,0.66252,0.48505,1.19788,0.88621,0.85714,0.93893,0.71323,0.92488,0.60417,1.41283,0.0001784,0.0001784,0.0001784
94,3700.07,0.64678,0.45887,1.17178,0.86969,0.90576,0.93549,0.71014,0.9386,0.59121,1.43365,0.0001586,0.0001586,0.0001586
95,3735.27,0.6376,0.43843,1.16371,0.90795,0.89643,0.94452,0.71265,0.93234,0.59672,1.41977,0.0001388,0.0001388,0.0001388
96,3770.36,0.63872,0.4394,1.15831,0.88641,0.89181,0.93857,0.71523,0.93286,0.59216,1.42492,0.000119,0.000119,0.000119
97,3805.53,0.63753,0.44756,1.16299,0.91485,0.8825,0.94583,0.71782,0.917,0.57013,1.40582,9.92e-05,9.92e-05,9.92e-05
98,3841,0.61956,0.43336,1.14672,0.91152,0.88306,0.94077,0.72367,0.9106,0.57521,1.40165,7.94e-05,7.94e-05,7.94e-05
99,3877.06,0.62948,0.42675,1.15903,0.90414,0.90357,0.94631,0.72731,0.91996,0.57267,1.41754,5.96e-05,5.96e-05,5.96e-05
100,3914,0.61461,0.42841,1.15757,0.92157,0.88125,0.94435,0.72363,0.90603,0.57277,1.40115,3.98e-05,3.98e-05,3.98e-05
